CustomerID,PurchaseFrequency,AvgOrderValue,TotalItems,LastPurchase,Recency,Cluster
12347.0,7,23.68131868131868,2458,2011-12-07 15:52:00,1,0
12349.0,1,24.076027397260276,631,2011-11-21 09:51:00,18,0
12350.0,1,19.670588235294115,197,2011-02-02 16:01:00,309,1
12352.0,8,29.482823529411764,536,2011-11-03 14:37:00,35,0
12353.0,1,22.25,20,2011-05-19 17:47:00,203,1
12354.0,1,18.610344827586207,530,2011-04-21 13:11:00,231,1
12355.0,1,35.33846153846154,240,2011-05-09 13:49:00,213,1
12359.0,4,25.695887096774197,1622,2011-10-13 12:47:00,57,0
12360.0,3,20.63612403100775,1165,2011-10-18 15:22:00,51,0
12361.0,1,18.99,91,2011-02-25 13:51:00,286,1
12362.0,10,19.64748120300752,2229,2011-12-06 15:40:00,2,0
12363.0,2,24.0,408,2011-08-22 10:18:00,109,0
12364.0,4,15.448235294117646,1506,2011-12-02 10:22:00,7,3
12365.0,2,29.15363636363636,174,2011-02-21 14:04:00,290,1
12367.0,1,15.354545454545455,173,2011-12-05 16:48:00,3,3
12370.0,4,21.231676646706585,2353,2011-10-19 14:51:00,50,0
12371.0,2,29.96761904761905,591,2011-10-26 10:16:00,44,0
12372.0,3,24.962307692307693,794,2011-09-29 12:12:00,71,0
12373.0,1,26.042857142857144,197,2011-02-01 13:10:00,310,1
12374.0,1,22.513030303030305,342,2011-11-14 15:37:00,24,0
12375.0,2,26.91176470588235,178,2011-11-29 10:36:00,10,0
12377.0,2,21.144415584415583,944,2011-01-28 15:45:00,314,1
12378.0,1,18.30420091324201,2529,2011-08-02 10:34:00,129,0
12379.0,2,21.306,407,2011-09-19 10:09:00,81,0
12380.0,4,26.200096153846157,1127,2011-11-18 11:27:00,21,0
12381.0,5,21.21045977011494,808,2011-12-05 12:44:00,4,0
12383.0,5,18.69252525252525,1532,2011-06-08 08:02:00,184,1
12384.0,2,21.676666666666662,126,2011-11-11 08:39:00,28,0
12386.0,2,40.19,354,2011-01-06 12:37:00,337,1
12388.0,6,27.8066,1462,2011-11-24 12:30:00,15,0
12390.0,1,17.1825,353,2011-09-21 09:33:00,79,0
12391.0,1,4.6089,300,2011-11-18 12:07:00,21,3
12393.0,4,24.728125,816,2011-09-28 15:41:00,71,0
12395.0,12,19.350192307692307,2118,2011-11-20 15:21:00,18,0
12397.0,2,19.12619047619048,1263,2011-11-04 09:52:00,35,0
12398.0,1,19.24305882352941,1394,2011-10-25 10:27:00,45,0
12399.0,4,18.790677966101697,1178,2011-08-12 13:15:00,118,0
12401.0,1,16.86,11,2011-02-09 13:50:00,302,1
12402.0,1,20.509090909090908,94,2011-01-20 13:49:00,322,1
12405.0,1,31.67388888888889,857,2011-07-14 08:52:00,148,0
12406.0,2,32.52666666666667,1818,2011-11-17 19:22:00,21,0
12407.0,5,22.183376623376624,1416,2011-10-21 10:11:00,49,0
12408.0,5,27.51,1409,2011-11-07 12:27:00,32,0
12410.0,2,26.666538461538455,211,2011-02-04 10:39:00,308,1
12412.0,3,20.112786885245903,829,2011-09-26 10:16:00,74,0
12413.0,3,19.95,286,2011-10-04 09:00:00,66,0
12414.0,3,31.245,300,2011-05-06 14:51:00,216,1
12417.0,9,19.005729166666665,1552,2011-12-06 14:52:00,2,0
12418.0,1,19.664117647058823,407,2011-08-19 11:08:00,112,0
12420.0,1,20.70310344827586,345,2011-10-07 08:55:00,63,0
12421.0,4,17.93422222222222,484,2011-11-24 09:07:00,15,0
12422.0,3,20.604102564102565,370,2011-09-05 09:48:00,95,0
12423.0,8,14.87448,1339,2011-12-09 10:10:00,0,3
12425.0,1,21.58888888888889,496,2011-09-22 17:31:00,77,0
12426.0,1,19.424333333333333,258,2011-05-29 12:26:00,194,1
12427.0,3,26.638709677419357,533,2011-11-18 08:56:00,21,0
12428.0,9,27.062789115646257,3536,2011-11-14 08:22:00,25,0
12429.0,4,38.66391752577319,1557,2011-11-30 17:22:00,8,0
12430.0,1,23.30909090909091,117,2011-10-27 15:09:00,42,0
12431.0,15,27.60617021276596,2906,2011-11-04 11:55:00,35,0
12433.0,7,31.847309523809525,11071,2011-12-09 10:02:00,0,0
12434.0,2,16.122799999999998,394,2011-09-16 12:38:00,84,3
12436.0,1,31.813125,211,2011-09-01 12:09:00,99,0
12437.0,18,24.88145728643216,2922,2011-12-08 11:35:00,1,0
12438.0,2,29.66173469387755,1180,2011-11-25 13:28:00,13,0
12441.0,1,15.77727272727273,121,2010-12-08 10:45:00,366,1
12442.0,1,14.338333333333331,182,2011-12-06 14:22:00,2,3
12444.0,5,28.44011363636364,1153,2011-11-18 13:23:00,20,0
12445.0,1,33.35,62,2011-11-17 18:43:00,21,0
12446.0,1,17.584385964912283,351,2011-10-13 12:50:00,57,0
12447.0,1,18.326538461538465,190,2011-04-10 13:25:00,242,1
12448.0,1,20.42954545454545,243,2011-10-26 13:46:00,43,0
12449.0,4,21.294712041884814,1553,2011-11-17 13:46:00,21,0
12450.0,2,24.735,128,2011-07-06 14:41:00,155,0
12451.0,5,25.52406779661017,6575,2011-11-29 08:40:00,10,0
12452.0,2,19.571363636363635,185,2011-11-23 10:28:00,16,0
12453.0,1,16.443953488372095,473,2011-07-28 14:08:00,133,1
12455.0,6,27.40955555555556,2089,2011-09-27 15:31:00,72,0
12456.0,3,25.44832,1633,2011-10-26 14:41:00,43,0
12457.0,7,38.11661290322581,843,2011-10-04 13:13:00,65,0
12458.0,2,24.931578947368426,506,2011-09-29 15:25:00,70,0
12461.0,2,23.62514285714286,287,2011-09-06 16:57:00,93,0
12462.0,2,19.186935483870965,536,2011-11-21 09:11:00,18,0
12463.0,4,16.202168674698793,776,2011-10-17 13:44:00,52,3
12464.0,8,41.79482758620689,112,2011-11-29 13:33:00,9,0
12465.0,2,15.79127659574468,479,2011-11-22 16:34:00,16,3
12468.0,2,19.19842105263158,366,2011-06-05 11:36:00,187,1
12471.0,30,43.09576086956522,8212,2011-12-07 15:43:00,1,0
12472.0,7,19.386755162241887,4148,2011-11-07 14:01:00,31,0
12473.0,5,23.44375,2439,2011-11-10 13:46:00,28,0
12474.0,18,17.395731132075472,4847,2011-11-22 14:39:00,16,0
12475.0,1,20.093888888888888,535,2011-10-17 10:10:00,53,0
12476.0,11,29.255021459227468,2408,2011-11-24 12:40:00,15,0
12478.0,1,18.91638888888889,236,2011-12-06 09:56:00,3,0
12479.0,1,17.006451612903227,385,2011-11-28 13:26:00,10,0
12480.0,4,21.309285714285718,1707,2011-11-11 14:52:00,27,0
12481.0,10,25.7894930875576,3304,2011-11-17 08:29:00,22,0
12483.0,8,33.133066666666664,1110,2011-11-22 17:02:00,16,0
12484.0,6,13.126358381502891,2191,2011-11-07 11:37:00,32,3
12488.0,3,23.612,529,2011-11-30 08:50:00,9,0
12489.0,1,22.328666666666667,105,2011-01-07 13:13:00,335,1
12490.0,10,22.114,3064,2011-12-04 16:07:00,4,0
12491.0,1,17.70769230769231,260,2011-11-01 12:18:00,38,0
12492.0,2,13.160500000000004,192,2011-10-07 15:15:00,62,3
12493.0,2,19.715454545454545,207,2011-06-27 10:17:00,165,1
12494.0,7,16.183116883116885,707,2011-11-24 09:34:00,15,0
12498.0,3,17.55217391304348,159,2011-11-18 12:53:00,20,0
12501.0,1,14.5596644295302,1783,2011-01-07 12:28:00,336,1
12502.0,5,25.332448979591835,820,2011-09-05 11:52:00,95,0
12506.0,1,3.1956521739130435,23,2011-04-21 08:54:00,232,1
12508.0,2,5.772028985507246,272,2011-11-13 15:37:00,25,3
12509.0,1,25.214285714285715,55,2011-02-28 14:45:00,283,1
12510.0,2,29.774848484848484,353,2011-07-20 10:15:00,142,0
12512.0,2,4.059705882352941,99,2011-10-04 14:55:00,65,3
12513.0,1,17.494,462,2011-08-19 10:51:00,112,0
12514.0,1,19.954509803921567,440,2011-03-17 16:38:00,266,1
12515.0,1,23.98125,131,2010-12-21 15:43:00,352,1
12517.0,5,8.812816901408452,1371,2011-11-11 14:04:00,27,3
12518.0,5,16.58782258064516,1318,2011-12-09 10:13:00,0,0
12519.0,1,18.935555555555556,183,2011-10-07 09:26:00,63,0
12520.0,5,17.330657894736845,1439,2011-09-21 15:23:00,78,0
12521.0,1,15.781052631578946,309,2011-07-20 10:51:00,142,1
12522.0,2,16.06,194,2011-10-31 15:30:00,38,3
12523.0,11,16.884622641509434,865,2011-11-20 12:55:00,18,0
12524.0,8,31.15083333333333,3699,2011-11-30 15:31:00,8,0
12526.0,3,18.54450704225352,632,2011-12-09 12:09:00,0,0
12527.0,3,19.37277777777778,234,2011-09-19 11:55:00,81,0
12528.0,6,21.01608695652174,756,2011-11-30 14:40:00,8,0
